link,topic
https://kirbyurner.medium.com/introspecting-your-own-os-445b39f79b08,productivity
https://medium.com/inc./simplify-your-time-management-with-the-rule-of-4-e884883c0173,productivity
https://betterhumans.pub/how-to-make-the-pomodoro-technique-work-even-for-a-chronic-procrastinator-4ebc4d403939,productivity
https://medium.com/curious/naps-a-procrastinators-cop-out-and-a-productive-s-go-to-9a516616a6bb,productivity
https://kristinwong5.medium.com/a-sunday-evening-ritual-that-makes-monday-less-awful-c0353c50883c,productivity
https://betterhumans.pub/free-fitness-for-everyone-the-november-project-1ce3ff2403cc,productivity
https://forge.medium.com/the-case-for-not-setting-goals-828a6af805b9,productivity
https://medium.com/publishous/the-no-zero-days-productivity-mindset-might-change-your-life-1152ec1ffeb2,productivity
https://forge.medium.com/one-question-to-get-your-life-together-93b87dcd8e19,productivity
https://writingcooperative.com/how-to-write-without-discipline-2d3e9fe0868f,productivity
https://python.plainenglish.io/turn-your-excel-sheets-into-a-powerpoint-presentation-just-in-a-couple-of-minutes-62ae4b8bc13b,productivity
https://medium.com/prehistoric-tales/mesozoic-quick-fact-series-fba7552ed53a,science
https://thermoaesthetics.medium.com/liquid-crystals-and-the-origin-of-life-ec3ac7f34281,science
https://medium.com/sci-illustrate-stories/marie-tharp-66abf60b0b87,science
https://medium.com/nutrition-updates/swapping-real-meat-to-plant-based-alternative-meat-for-heart-health-study-finds-aab5576d9971,science
https://historyofyesterday.com/who-was-the-best-soviet-physicist-d164dfb4145b,science
https://gaertner-andy122.medium.com/relatively-obsessed-deep-genealogy-im-an-above-average-neanderthal-1d499a402342,science
https://snailseyeview.medium.com/edgar-allan-poe-malacologist-7994d84a4f64,science
https://vishnu-vkumar.medium.com/why-hydrogen-fuel-has-failed-to-replace-the-conventional-fuel-sources-3e6249f96a74,science
https://tanyaofmars.medium.com/ingenuity-gets-an-upgrade-on-mars-265a3ed25c84,science
https://medium.com/technicity/these-metamaterials-can-engineer-helpful-living-machines-of-the-future-ca58349f52b0,science
https://medium.com/business-insider/i-watch-paint-dry-for-a-living-surprisingly-its-never-boring-33ee5a664ef2,science
https://medium.com/business-insider/millions-are-missing-their-second-doses-of-covid-vaccines-65584c45cd63,science
https://medium.com/nerd-for-tech/ada-lovelace-worlds-first-programmer-69e964e1a112,science
https://medium.com/the-environment/why-lake-superior-is-tilting-ff88dca8ed3,science
https://tokyouniversityofscience.medium.com/a-minty-fresh-solution-using-a-menthol-like-compound-to-activate-plant-immune-mechanisms-ffeeaba93f54,science
https://julesevans.medium.com/on-peter-thiel-radical-life-extension-and-the-state-a5fdfbe96a80,science
https://kandradec.medium.com/a-justice-centered-science-dreams-of-the-future-of-the-scientific-enterprise-1b9fd3a53ee2,science
https://medium.com/prehistoric-tales/tales-of-prehistory-monthly-review-april-2021-bff73b85d75e,science
https://medium.com/snipette/after-farming-c58fdb79d2f7,science
https://medium.com/slate/dont-fall-for-fertility-fearmongering-about-trans-men-4178e4ef5770,science
https://genieus.medium.com/microtubules-and-defects-in-axonal-transport-27c283e479a7,science
https://plotlygraphs.medium.com/dash-apps-that-analyze-rna-sequencing-data-for-drug-vaccine-development-1a0ea9763d5,science
https://medium.com/on-the-trail-of-the-saucers/christianitys-cosmological-problem-and-ufo-disclosure-afc00b9397a9,science
https://medium.com/business-insider/the-covid-vaccine-side-effects-to-expect-if-youre-young-ba1296e7759f,science
https://susanpkennedy.medium.com/graphene-the-stem-cell-of-the-carbon-world-292c17524f08,science
https://coronavirus.medium.com/the-u-s-is-finally-donating-covid-19-vaccines-abroad-we-need-to-do-more-4997a64458dd,science
https://medium.com/the-atlantic/the-worlds-richest-men-are-brawling-over-the-moon-295afd1a6724,science
https://starkraving.medium.com/could-you-survive-40-days-in-a-cave-without-clocks-or-sunlight-8cd28fd30750,science
https://669659.medium.com/applications-of-the-law-of-conservation-of-energy-309c0a2d0a1b,science
https://2madness.com/nature-has-the-best-superheroes-and-theyre-very-real-737946f809df,science
https://medium.com/prehistoric-tales/exciting-paleontological-discoveries-you-probably-missed-in-april-92edb1806375,science
https://irudan.medium.com/the-laughing-death-edba313c6791,science
https://ujm.medium.com/a-quantum-eraser-and-backward-in-time-causation-3c2c1c13383f,science
https://harwellcampus.medium.com/harwell-campus-pandemic-pioneer-daren-fearon-738bcb0278a4,science
https://natidevalle.medium.com/the-basecamp-debacle-reflection-time-25a7661435cb,leadership
https://ruchimehra1.medium.com/stop-blaming-your-boss-for-not-investing-in-your-development-9d5863cfd957,leadership
https://medium.com/flower-out-of-rubble/the-most-crucial-quality-in-a-true-leader-many-seem-to-not-know-88f630ca9953,leadership
https://medium.com/illumination-curated/navigating-the-long-road-ahead-d210f7b30ec0,leadership
https://leelingyang.medium.com/what-you-least-expected-as-the-first-product-management-hire-6165c523f696,leadership
https://medium.com/the-post-grad-survival-guide/7-things-your-boss-isnt-telling-you-but-you-need-to-know-c1d109a0b3fb,leadership
https://medium.com/thinkrubix/moving-your-people-to-action-3dc5b8156cd1,leadership
https://aliqasnaqvi.medium.com/how-to-work-with-knowledge-workers-e5a3925520b3,leadership
https://adityahash.medium.com/4-concrete-measures-in-establishment-of-a-constructive-leader-2e87085bcaa,leadership
https://claireademarco.medium.com/make-it-a-10-frameworks-for-actionable-feedback-4bb1507658d,leadership
https://angela-yurchenko.medium.com/4-practices-to-become-a-transformational-business-leader-today-21d551ca7e5f,leadership
https://entrepreneurshandbook.co/5-emergency-tools-to-help-ceos-deliver-any-project-on-schedule-e5b8e32167e8,leadership
https://bootcamp.uxdesign.cc/how-to-put-hr-in-the-driver-seat-of-organisational-change-bef89dc6b8ea,leadership
https://medium.com/the-road-to-wellness/life-and-work-lessons-from-theory-u-14aa8126c011,leadership
https://eand.co/why-leadership-needs-a-revolution-3c4d7869eeb5,leadership
https://mark-mcmillion.medium.com/what-purpose-is-and-what-it-isnt-a97c8523f5e0,leadership
https://tiffanyjana.medium.com/introducing-artificial-diversity-intelligence-aef6f032ce5c,leadership
https://laustlauridsen.medium.com/growing-ideas-beyond-imagination-f0da12966d36,leadership
https://medium.com/the-ascent/how-i-became-the-managing-director-of-a-company-at-23-17a748af70c,leadership
https://medium.com/leading-and-managing/strategy-turns-abstract-goals-into-concrete-results-367e62c7e92d,leadership
https://medium.datadriveninvestor.com/leadership-lessons-from-historys-great-leaders-d10ab8680647,leadership
https://entrepreneurshandbook.co/how-a-24-year-old-mentor-rebooted-my-drive-my-profits-1d8c1864876c,leadership
https://entrepreneurshandbook.co/how-can-young-entrepreneurs-stop-freaking-out-so-much-and-save-up-their-energy-4c47349cd88,leadership
https://betterhumans.pub/how-i-overcame-my-fears-to-become-a-more-confident-and-assertive-person-8cba919a0351,leadership
https://ryanhywong.medium.com/the-number-one-mistake-youre-making-in-tracking-wfh-productivity-10a10e737922,leadership
https://dedehenley.medium.com/your-team-might-like-you-more-after-reading-this-ca1ec6be99d1,leadership
https://medium.com/the-honestly-press/need-faster-results-consider-a-product-mindset-1afef449e3ce,leadership
https://entrepreneurshandbook.co/hey-ceos-now-isnt-the-time-to-stick-your-head-in-the-sand-ead87e30e801,leadership
https://index.medium.com/how-to-turn-office-gossip-into-a-learning-tool-447c5cdc1175,leadership
https://medium.com/@steve.willis_63935/is-your-return-to-work-plan-doomed-to-fail-cb7c98a17ef4,leadership
https://medium.datadriveninvestor.com/helping-staff-and-family-members-cope-with-changes-1340bee3caf7,leadership
https://kylegulau.medium.com/look-out-netflix-is-in-command-of-their-culture-f91ba8a15472,leadership
https://cheryleinhorn.medium.com/11-myths-about-decision-making-5f7b81021dc1,leadership
https://michel-kana.medium.com/how-i-repainted-leadership-with-bright-colours-803d6e6c913b,leadership
https://laura-khoudari.medium.com/how-to-create-a-trauma-sensitive-home-exercise-routine-9e888678283f,mindfulness
https://psiloveyou.xyz/what-is-love-really-69f295d69e0d,mindfulness
https://medium.com/illumination/chronic-neck-pain-is-the-best-thing-that-ever-happened-to-me-7288c21a175a,mindfulness
https://shivendramisra.medium.com/on-slowing-down-time-procrastination-and-mindfulness-d6c07d5cac03,mindfulness
https://medium.com/predict/how-to-slow-down-time-4908f60493d8,mindfulness
https://psiloveyou.xyz/my-friends-call-me-hamilton-51892cdf14a7,mindfulness
https://medium.com/change-your-mind/my-captain-obvious-highly-effective-tip-for-strengthening-your-mindfulness-practice-22c4abd6dfcf,mindfulness
https://benson-erinjean.medium.com/stop-saying-everything-is-going-to-be-ok-9275c7efda50,mindfulness
https://wendymillermeditation.medium.com/how-to-meditate-in-3-minutes-or-less-9baa3f15aa5b,mindfulness
https://medium.com/enhancing-brain/does-meditation-improve-concentration-and-focus-5ed68bc8cd97,mindfulness
https://medium.com/illumination-book-chapters/standing-stark-the-willingness-to-engage-14fac602ca60,mindfulness
https://medium.com/wholistique/how-to-co-create-with-the-universe-71af5ca459c5,mindfulness
https://psiloveyou.xyz/will-mindfulness-mend-your-broken-heart-92fe4917ab04,mindfulness
https://emmaceleste.medium.com/being-more-present-can-drastically-change-your-productivity-levels-405f5546fb63,mindfulness
https://medium.com/the-ascent/how-to-find-time-for-meditation-and-stick-with-it-long-enough-to-matter-4db37ada49a9,mindfulness
https://medium.com/happy-brain-club/what-if-your-inner-voice-was-like-the-best-friend-you-could-hope-for-db3e41ec993c,mindfulness
https://jenadamspsy.medium.com/from-the-therapy-chair-to-the-yoga-mat-2a6c320a5050,mindfulness
https://medium.com/illumination/pause-the-doing-and-take-time-for-simply-being-e36ca9bafd05,mindfulness
https://medium.com/scribe/love-is-selflessness-4d7d2fa82bba,mindfulness
https://mike-robbins.medium.com/the-importance-of-flexibility-d8bd82a96d29,mindfulness
https://medium.com/mental-health-and-addictions-community/mindfulness-meditation-for-a-messy-family-3303f11b1a7c,mindfulness
https://bell-brandon0.medium.com/a-simple-visualization-technique-to-put-you-in-a-better-mood-f889569796be,mindfulness
https://superjumpmagazine.com/its-time-to-talk-about-video-game-burnout-72a96720348,mindfulness
https://medium.com/illumination/why-you-shouldnt-question-your-abilities-in-everything-you-do-cb422cb3590a,mindfulness
https://laurenbartleson.medium.com/how-i-accidentally-meditated-for-90-days-straight-9695b40cba60,mindfulness
https://medium.com/accompanied-by-enervation/finding-your-mindfulness-pathway-c274ba54651e,mindfulness
https://studentsxstudents.com/the-importance-of-self-compassion-and-mindfulness-for-growth-7faa55d38ead,mindfulness
https://jordan-kiefer-osullivan.medium.com/brainwaves-the-modern-meditators-introduction-681ae53fde0b,mindfulness
https://medium.com/curious/when-you-carry-your-phone-everywhere-here-are-5-things-you-lose-8f3df767f6c,mindfulness
https://medium.com/change-your-mind/3-seconds-to-find-flow-in-this-on-auto-pilot-world-561ffa266128,mindfulness
https://medium.com/know-thyself-heal-thyself/on-wastage-of-energy-ecade80db496,mindfulness
https://medium.com/mind-cafe/can-mindfulness-help-prevent-the-effects-of-aging-cd3cd4a6a5a1,mindfulness
https://medium.com/less-stress-more-success/meditation-is-not-required-24c6bdf24107,mindfulness
https://tena-walia.medium.com/a-light-in-the-covid-tunnel-8ca179060d60,mindfulness
https://sayan-das.medium.com/value-and-growth-stock-strategy-during-market-corrections-8d55ce1e30be,economy
https://medium.com/our-new-nature/climate-insanity-bb65e1ee9b4f,economy
https://medium.com/technicity/global-business-week-global-gdp-forecasts-for-2021-2022-e9eb59d314b9,economy
https://medium.com/surviving-tomorrow/90-of-the-world-is-stuck-in-a-game-they-dont-want-to-play-e438ab7596eb,economy
https://medium.com/explaining-economics/what-is-the-gravity-model-of-trade-84ad9e6ff342,economy
https://medium.com/alpha-beta-blog/this-story-of-a-modern-day-castaway-will-infuriate-you-826004b49466,economy
https://sustainablesong.medium.com/credit-score-and-gdp-a-master-class-in-how-using-bad-measurements-gives-you-terrible-results-452d5e8d4ce6,economy
https://medium.com/omidyar-network/reimagining-capitalism-series-building-an-anti-racist-and-inclusive-economy-36fc79ab5cbc,economy
https://agranato.medium.com/when-donating-to-charity-makes-the-rich-richer-a-loophole-in-raising-capital-gains-taxes-bdfaff1b77b0,economy
https://medium.com/what-works-cities-economic-mobility-initiative/can-free-financial-counseling-help-address-detroits-eviction-crisis-4758b89ad96a,economy
https://medium.com/jennybwriter/restaurants-need-to-take-better-care-of-their-servers-9dcb4401d788,economy
https://dylanhughes.medium.com/why-the-rich-arent-worried-about-a-capital-gains-tax-hike-d426ad507d23,economy
https://roger-21467.medium.com/anchor-the-biden-plan-in-4-principles-of-country-success-193ef69572ba,economy
https://scottcdunn.medium.com/incentive-models-deceive-us-675414a87747,economy
https://medium.com/the-new-york-times/a-perfect-positive-storm-bonkers-dollars-for-big-tech-1c7329837014,economy
https://medium.com/bloomberg/affluent-americans-rush-to-retire-in-new-life-is-short-mindset-b0ba83f487a0,economy
https://medium.com/m-shule-stories/combating-financial-illiteracy-one-sms-at-a-time-8463fb97baa5,economy
https://medium.com/the-price-of-tomorrow/you-have-to-understand-the-fourth-turning-to-take-advantage-of-your-financial-future-6808aa289379,economy
https://gen.medium.com/the-ten-most-important-lines-from-president-bidens-address-b05ea1a6a1ae,economy
https://medium.com/business-insider/millennials-face-their-2nd-housing-crisis-in-12-years-d726a0b4d378,economy
https://cryptohayes.medium.com/grow-up-or-blow-up-3fad18d2a1fc,economy
https://micbusler.medium.com/gdp-growth-rate-shows-bidens-spending-plans-will-overstimulate-the-economy-d9fc1d55c178,economy
https://medium.com/business-insider/biden-bets-big-with-plans-to-remake-america-35165db192c0,economy
https://funmbi.medium.com/an-analysis-on-the-factors-that-influence-inflation-41e8ddec711c,economy
https://medium.com/on_second_thought/the-rise-of-ethical-fashion-gives-consumers-a-choice-does-it-matter-fb6a66be9f28,economy
https://medium.com/the-buzz-georgia-tech/does-debt-still-matter-be02a3b2fe56,economy
